sample_id,model,generation,batch,problem_key,analyzed,parsed_ok,total_errors,has_cwe,num_cwe_types,cwe_list,error_count,warning_count,style_count,performance_count,portability_count
human/soln1/00000/0201_39_E._What_Has_Dirichlet_Got_to_Do_with_That_,human,soln1,00000,39 e what has dirichlet got to do with that,1,1,2,1,2,398|758,0,0,2,0,0
human/soln1/00000/0068_p00167_Bubble_Sort,human,soln1,00000,p00167 bubble sort,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0233_p03612_AtCoder_Beginner_Contest_072_-_Derangement,human,soln1,00000,p03612 atcoder beginner contest 072 derangement,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0127_670_B._Game_of_Robots,human,soln1,00000,670 b game of robots,1,1,1,1,1,563,0,0,1,0,0
human/soln1/00000/0089_1136_D._Nastya_Is_Buying_Lunch,human,soln1,00000,1136 d nastya is buying lunch,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0071_p00680_KND_Factory,human,soln1,00000,p00680 knd factory,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0067_p00035_Is_it_Convex_,human,soln1,00000,p00035 is it convex,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0216_774_K._Stepan_and_Vowels,human,soln1,00000,774 k stepan and vowels,1,1,2,1,1,477,0,2,0,0,0
human/soln1/00000/0153_p00206_Next_Trip,human,soln1,00000,p00206 next trip,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0193_209_B._Pixels,human,soln1,00000,209 b pixels,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0243_p01083_RedBlue,human,soln1,00000,p01083 redblue,1,1,2,1,1,398,0,0,2,0,0
human/soln1/00000/0045_730_J._Bottles,human,soln1,00000,730 j bottles,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0032_39_H._Multiplication_Table,human,soln1,00000,39 h multiplication table,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0257_1096_E._The_Top_Scorer,human,soln1,00000,1096 e the top scorer,1,1,3,1,2,369|571,2,0,1,0,0
human/soln1/00000/0219_846_B._Math_Show,human,soln1,00000,846 b math show,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0223_937_D._Sleepy_Game,human,soln1,00000,937 d sleepy game,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0261_1184_B3._The_Doctor_Meets_Vader__Hard_,human,soln1,00000,1184 b3 the doctor meets vader hard,1,1,5,1,2,398|563,0,0,5,0,0
human/soln1/00000/0074_p01086_Short_Phrase,human,soln1,00000,p01086 short phrase,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0079_p01838_Optimal_Tournament,human,soln1,00000,p01838 optimal tournament,1,1,4,1,2,398|563,0,0,4,0,0
human/soln1/00000/0226_p02610_AIsing_Programming_Contest_2020_-_Camel_Train,human,soln1,00000,p02610 aising programming contest 2020 camel train,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0212_687_A._NP-Hard_Problem,human,soln1,00000,687 a np hard problem,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0176_1189_A._Keanu_Reeves,human,soln1,00000,1189 a keanu reeves,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0129_716_D._Complete_The_Graph,human,soln1,00000,716 d complete the graph,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0169_1012_B._Chemical_table,human,soln1,00000,1012 b chemical table,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0070_p00493_Zig-Zag_Numbers,human,soln1,00000,p00493 zig zag numbers,1,1,1,0,0,,0,0,0,0,0
human/soln1/00000/0205_518_E._Arthur_and_Questions,human,soln1,00000,518 e arthur and questions,1,1,2,1,2,119|398,0,1,1,0,0
human/soln1/00000/0195_25_D._Roads_not_only_in_Berland,human,soln1,00000,25 d roads not only in berland,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0135_851_B._Arpa_and_an_exam_about_geometry,human,soln1,00000,851 b arpa and an exam about geometry,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0078_p01694_Step_Aerobics,human,soln1,00000,p01694 step aerobics,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0112_316_B2._EKG,human,soln1,00000,316 b2 ekg,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0234_p03771_AtCoder_Grand_Contest_012_-_Camel_and_Oases,human,soln1,00000,p03771 atcoder grand contest 012 camel and oases,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0148_p03503_AtCoder_Beginner_Contest_080_-_Shopping_Street,human,soln1,00000,p03503 atcoder beginner contest 080 shopping street,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0013_1334_D._Minimum_Euler_Cycle,human,soln1,00000,1334 d minimum euler cycle,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0055_963_B._Destruction_of_a_Tree,human,soln1,00000,963 b destruction of a tree,1,1,2,1,1,398,0,0,1,1,0
human/soln1/00000/0080_p01974_Pigeonhole_principle,human,soln1,00000,p01974 pigeonhole principle,1,1,3,1,1,398,0,0,0,3,0
human/soln1/00000/0120_500_C._New_Year_Book_Reading,human,soln1,00000,500 c new year book reading,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0121_526_A._King_of_Thieves,human,soln1,00000,526 a king of thieves,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0054_938_B._Run_For_Your_Prize,human,soln1,00000,938 b run for your prize,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0047_776_A._A_Serial_Killer,human,soln1,00000,776 a a serial killer,1,1,1,1,1,570,0,0,1,0,0
human/soln1/00000/0253_1007_E._Mini_Metro,human,soln1,00000,1007 e mini metro,1,1,2,1,1,563,0,0,2,0,0
human/soln1/00000/0100_1424_N._BubbleSquare_Tokens,human,soln1,00000,1424 n bubblesquare tokens,1,1,9,1,2,252|398,0,2,5,2,0
human/soln1/00000/0259_1144_B._Parity_Alternated_Deletions,human,soln1,00000,1144 b parity alternated deletions,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0204_494_A._Treasure,human,soln1,00000,494 a treasure,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0029_331_E2._Deja_Vu,human,soln1,00000,331 e2 deja vu,1,1,4,1,1,398,0,0,4,0,0
human/soln1/00000/0125_621_D._Rat_Kwesh_and_Cheese,human,soln1,00000,621 d rat kwesh and cheese,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0246_p01535_Markup_language_has_Declined,human,soln1,00000,p01535 markup language has declined,1,1,3,1,2,119|398,0,1,2,0,0
human/soln1/00000/0025_235_D._Graph_Game,human,soln1,00000,235 d graph game,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0049_820_D._Mister_B_and_PR_Shifts,human,soln1,00000,820 d mister b and pr shifts,1,1,2,1,1,398,0,0,2,0,0
human/soln1/00000/0116_405_E._Graph_Cutting,human,soln1,00000,405 e graph cutting,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0254_1030_E._Vasya_and_Good_Sequences,human,soln1,00000,1030 e vasya and good sequences,1,1,4,1,1,563,0,0,4,0,0
human/soln1/00000/0270_1369_D._TediousLee,human,soln1,00000,1369 d tediouslee,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0113_339_A._Helpful_Maths,human,soln1,00000,339 a helpful maths,1,1,2,1,1,563,0,0,2,0,0
human/soln1/00000/0215_754_B._Ilya_and_tic-tac-toe_game,human,soln1,00000,754 b ilya and tic tac toe game,1,1,1,0,0,,0,0,0,0,0
human/soln1/00000/0095_1277_E._Two_Fairs,human,soln1,00000,1277 e two fairs,1,1,1,1,1,457,0,1,0,0,0
human/soln1/00000/0214_730_G._Car_Repair_Shop,human,soln1,00000,730 g car repair shop,1,1,2,1,1,398,0,0,0,2,0
human/soln1/00000/0249_p01970_The_Diversity_of_Prime_Factorization,human,soln1,00000,p01970 the diversity of prime factorization,1,1,5,1,3,398|563|571,0,0,5,0,0
human/soln1/00000/0006_1149_E._Election_Promises,human,soln1,00000,1149 e election promises,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0236_p00032_Plastic_Board,human,soln1,00000,p00032 plastic board,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0130_737_A._Road_to_Cinema,human,soln1,00000,737 a road to cinema,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0170_1037_B._Reach_Median,human,soln1,00000,1037 b reach median,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0103_1497_D._Genius,human,soln1,00000,1497 d genius,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0262_1202_C._You_Are_Given_a_WASD-string...,human,soln1,00000,1202 c you are given a wasd string,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0041_634_C._Factory_Repairs,human,soln1,00000,634 c factory repairs,1,1,1,1,1,571,0,0,1,0,0
human/soln1/00000/0076_p01356_Nearest_Station,human,soln1,00000,p01356 nearest station,1,1,2,1,1,398,0,0,2,0,0
human/soln1/00000/0084_101_C._Vectors,human,soln1,00000,101 c vectors,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0072_p00822_Weather_Forecast,human,soln1,00000,p00822 weather forecast,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0066_p03943_AtCoder_Beginner_Contest_047_-_Fighting_over_Candies,human,soln1,00000,p03943 atcoder beginner contest 047 fighting over candies,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0019_1466_F._Euclid_s_nightmare,human,soln1,00000,1466 f euclid s nightmare,1,1,1,1,1,571,0,0,1,0,0
human/soln1/00000/0143_p02781_AtCoder_Beginner_Contest_154_-_Almost_Everywhere_Zero,human,soln1,00000,p02781 atcoder beginner contest 154 almost everywhere zero,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0138_920_E._Connected_Components_,human,soln1,00000,920 e connected components,1,1,4,1,1,398,0,0,0,4,0
human/soln1/00000/0178_1227_A._Math_Problem,human,soln1,00000,1227 a math problem,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0073_p00953_Animal_Companion_in_Maze,human,soln1,00000,p00953 animal companion in maze,1,1,4,1,1,398,0,0,4,0,0
human/soln1/00000/0200_378_C._Maze,human,soln1,00000,378 c maze,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0155_p00573_Commuter_Pass,human,soln1,00000,p00573 commuter pass,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0128_691_D._Swaps_in_Permutation,human,soln1,00000,691 d swaps in permutation,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0118_455_C._Civilization,human,soln1,00000,455 c civilization,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0015_1374_E1._Reading_Books__easy_version_,human,soln1,00000,1374 e1 reading books easy version,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0248_p01835_Donut_Decoration,human,soln1,00000,p01835 donut decoration,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0077_p01538_Kakezan,human,soln1,00000,p01538 kakezan,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0117_433_A._Kitahara_Haruki_s_Gift,human,soln1,00000,433 a kitahara haruki s gift,1,1,3,1,1,398,0,0,3,0,0
human/soln1/00000/0133_805_A._Fake_NP,human,soln1,00000,805 a fake np,1,1,4,1,1,398,0,0,2,2,0
human/soln1/00000/0119_478_A._Initial_Bet,human,soln1,00000,478 a initial bet,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0042_663_A._Rebus,human,soln1,00000,663 a rebus,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0147_p03343_AtCoder_Regular_Contest_098_-_Range_Minimum_Queries,human,soln1,00000,p03343 atcoder regular contest 098 range minimum queries,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0123_578_C._Weakness_and_Poorness,human,soln1,00000,578 c weakness and poorness,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0166_p02157_Shuffle_2,human,soln1,00000,p02157 shuffle 2,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0010_1269_E._K_Integers,human,soln1,00000,1269 e k integers,1,1,4,1,1,398,0,0,2,2,0
human/soln1/00000/0134_830_A._Office_Keys,human,soln1,00000,830 a office keys,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0267_1304_E._1-Trees_and_Queries,human,soln1,00000,1304 e 1 trees and queries,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0162_p01576_Exciting_Bicycle,human,soln1,00000,p01576 exciting bicycle,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0194_235_A._LCM_Challenge,human,soln1,00000,235 a lcm challenge,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0085_1043_A._Elections,human,soln1,00000,1043 a elections,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0058_p02744_Panasonic_Programming_Contest_2020_-_String_Equivalence,human,soln1,00000,p02744 panasonic programming contest 2020 string equivalence,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0052_893_D._Credit_Card,human,soln1,00000,893 d credit card,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0093_1236_A._Stones,human,soln1,00000,1236 a stones,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0174_1129_A2._Toy_Train,human,soln1,00000,1129 a2 toy train,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0033_425_D._Sereja_and_Squares,human,soln1,00000,425 d sereja and squares,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0022_1540_C1._Converging_Array__Easy_Version_,human,soln1,00000,1540 c1 converging array easy version,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0094_1253_F._Cheap_Robot,human,soln1,00000,1253 f cheap robot,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0030_354_E._Lucky_Number_Representation,human,soln1,00000,354 e lucky number representation,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0035_494_D._Birthday,human,soln1,00000,494 d birthday,1,1,7,1,2,398|563,0,0,7,0,0
human/soln1/00000/0244_p01219_Private_Teacher,human,soln1,00000,p01219 private teacher,1,1,1,1,1,119,0,1,0,0,0
human/soln1/00000/0229_p03010_diverta_2019_Programming_Contest_2_-_Diverta_City,human,soln1,00000,p03010 diverta 2019 programming contest 2 diverta city,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0122_551_B._ZgukistringZ,human,soln1,00000,551 b zgukistringz,1,1,5,1,1,398,0,0,4,1,0
human/soln1/00000/0182_1311_C._Perform_the_Combo,human,soln1,00000,1311 c perform the combo,1,1,3,1,3,119|398|686,0,2,1,0,0
human/soln1/00000/0036_519_B._A_and_B_and_Compilation_Errors,human,soln1,00000,519 b a and b and compilation errors,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0189_1466_C._Canine_poetry,human,soln1,00000,1466 c canine poetry,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0039_593_C._Beautiful_Function,human,soln1,00000,593 c beautiful function,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0272_1413_F._Roads_and_Ramen,human,soln1,00000,1413 f roads and ramen,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0018_143_A._Help_Vasilisa_the_Wise_2,human,soln1,00000,143 a help vasilisa the wise 2,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0024_20_B._Equation,human,soln1,00000,20 b equation,1,1,3,1,1,398,0,0,3,0,0
human/soln1/00000/0044_70_C._Lucky_Tickets,human,soln1,00000,70 c lucky tickets,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0091_1176_F._Destroy_it_,human,soln1,00000,1176 f destroy it,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0245_p01353_Rabbit_Plays_Games_,human,soln1,00000,p01353 rabbit plays games,1,1,2,1,2,398|571,0,0,2,0,0
human/soln1/00000/0251_p02257_Prime_Numbers,human,soln1,00000,p02257 prime numbers,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0021_1513_C._Add_One,human,soln1,00000,1513 c add one,1,1,3,1,1,398,0,0,3,0,0
human/soln1/00000/0180_1269_B._Modulo_Equality,human,soln1,00000,1269 b modulo equality,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0190_1490_D._Permutation_Transformation,human,soln1,00000,1490 d permutation transformation,1,1,1,1,1,398,0,0,0,1,0
human/soln1/00000/0160_p01262_Adaptive_Time_Slicing_Quantization,human,soln1,00000,p01262 adaptive time slicing quantization,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0069_p00323_Metal_Recycling,human,soln1,00000,p00323 metal recycling,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0051_868_A._Bark_to_Unlock,human,soln1,00000,868 a bark to unlock,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0031_379_A._New_Year_Candles,human,soln1,00000,379 a new year candles,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0088_1107_D._Compression,human,soln1,00000,1107 d compression,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0199_354_B._Game_with_Strings,human,soln1,00000,354 b game with strings,1,1,1,1,1,119,0,1,0,0,0
human/soln1/00000/0040_615_A._Bulbs,human,soln1,00000,615 a bulbs,1,1,2,1,1,398,0,0,2,0,0
human/soln1/00000/0126_643_B._Bear_and_Two_Paths,human,soln1,00000,643 b bear and two paths,1,1,1,1,1,563,0,0,1,0,0
human/soln1/00000/0256_1075_D._Intersecting_Subtrees,human,soln1,00000,1075 d intersecting subtrees,1,1,6,1,3,398|457|563,0,2,4,0,0
human/soln1/00000/0255_1053_C._Putting_Boxes_Together,human,soln1,00000,1053 c putting boxes together,1,1,1,1,1,563,0,0,1,0,0
human/soln1/00000/0220_867_D._Gotta_Go_Fast,human,soln1,00000,867 d gotta go fast,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0213_709_E._Centroids,human,soln1,00000,709 e centroids,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0114_361_C._Levko_and_Array_Recovery,human,soln1,00000,361 c levko and array recovery,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0086_1065_F._Up_and_Down_the_Tree,human,soln1,00000,1065 f up and down the tree,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0081_p02120_Cluster_Network,human,soln1,00000,p02120 cluster network,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0124_5_A._Chat_Server_s_Outgoing_Traffic,human,soln1,00000,5 a chat server s outgoing traffic,1,1,1,1,1,563,0,0,1,0,0
human/soln1/00000/0230_p03150_KEYENCE_Programming_Contest_2019_-_KEYENCE_String,human,soln1,00000,p03150 keyence programming contest 2019 keyence string,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0188_1439_C._Greedy_Shopping,human,soln1,00000,1439 c greedy shopping,1,1,4,1,1,563,0,0,4,0,0
human/soln1/00000/0222_914_F._Substrings_in_a_String,human,soln1,00000,914 f substrings in a string,1,1,4,1,2,119|398,0,2,2,0,0
human/soln1/00000/0008_1208_D._Restore_Permutation,human,soln1,00000,1208 d restore permutation,1,1,6,1,5,398|457|563|571|788,0,2,4,0,0
human/soln1/00000/0000_1012_E._Cycle_sort,human,soln1,00000,1012 e cycle sort,1,1,2,1,1,398,0,0,2,0,0
human/soln1/00000/0003_1081_G._Mergesort_Strikes_Back,human,soln1,00000,1081 g mergesort strikes back,1,1,3,1,1,398,0,0,3,0,0
human/soln1/00000/0192_167_C._Wizards_and_Numbers,human,soln1,00000,167 c wizards and numbers,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0106_174_E._Ancient_Berland_Hieroglyphs,human,soln1,00000,174 e ancient berland hieroglyphs,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0235_p03940_AtCoder_Grand_Contest_007_-_Shik_and_Game,human,soln1,00000,p03940 atcoder grand contest 007 shik and game,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0173_1100_D._Dasha_and_Chess,human,soln1,00000,1100 d dasha and chess,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0203_449_D._Jzzhu_and_Numbers,human,soln1,00000,449 d jzzhu and numbers,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0059_p02879_AtCoder_Beginner_Contest_144_-_9x9,human,soln1,00000,p02879 atcoder beginner contest 144 9x9,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0104_151_C._Win_or_Freeze,human,soln1,00000,151 c win or freeze,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0210_633_H._Fibonacci-ish_II,human,soln1,00000,633 h fibonacci ish ii,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0157_p00860_The_Morning_after_Halloween,human,soln1,00000,p00860 the morning after halloween,1,1,4,1,1,398,0,0,2,2,0
human/soln1/00000/0250_p02117_Picnic,human,soln1,00000,p02117 picnic,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0017_1421_B._Putting_Bricks_in_the_Wall,human,soln1,00000,1421 b putting bricks in the wall,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0202_425_A._Sereja_and_Swaps,human,soln1,00000,425 a sereja and swaps,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0221_893_A._Chess_For_Three,human,soln1,00000,893 a chess for three,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0097_133_D._Piet,human,soln1,00000,133 d piet,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0207_571_B._Minimization,human,soln1,00000,571 b minimization,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0023_168_A._Wizards_and_Demonstration,human,soln1,00000,168 a wizards and demonstration,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0082_p02260_Selection_Sort,human,soln1,00000,p02260 selection sort,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0056_990_E._Post_Lamps,human,soln1,00000,990 e post lamps,1,1,3,1,1,563,0,0,3,0,0
human/soln1/00000/0171_105_C._Item_World,human,soln1,00000,105 c item world,1,1,8,1,3,398|457|563,1,1,6,0,0
human/soln1/00000/0159_p01123_Let_s_Move_Tiles_,human,soln1,00000,p01123 let s move tiles,1,1,5,1,2,398|562,1,1,3,0,0
human/soln1/00000/0145_p03052_diverta_2019_Programming_Contest_-_Edge_Ordering,human,soln1,00000,p03052 diverta 2019 programming contest edge ordering,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0224_962_F._Simple_Cycles_Edges,human,soln1,00000,962 f simple cycles edges,1,1,2,1,1,398,0,0,2,0,0
human/soln1/00000/0185_1374_B._Multiply_by_2__divide_by_6,human,soln1,00000,1374 b multiply by 2 divide by 6,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0175_1149_B._Three_Religions,human,soln1,00000,1149 b three religions,1,1,4,1,1,398,0,1,1,2,0
human/soln1/00000/0211_662_C._Binary_Table,human,soln1,00000,662 c binary table,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0136_875_D._High_Cry,human,soln1,00000,875 d high cry,1,1,1,1,1,398,0,0,1,0,0
human/soln1/00000/0149_p03664_AtCoder_Regular_Contest_078_-_Mole_and_Abandoned_Mine,human,soln1,00000,p03664 atcoder regular contest 078 mole and abandoned mine,1,1,0,0,0,,0,0,0,0,0
human/soln1/00000/0050_846_E._Chemistry_in_Berland,human,soln1,00000,846 e chemistry in berland,1,1,0,0,0,,0,0,0,0,0
